LocationName,Latitude,Longitude,Context,Sentiment
Flint’s Pond,42.4351727,-71.3156315,"Sometimes I rambled to pine groves, standing like temples, or like fleets at sea, full-rigged, with wavy boughs, and rippling with light, so soft and green and shady that the Druids would have forsaken their oaks to worship in them; or to the cedar wood beyond Flint’s Pond, where the trees, covered with hoary blue berries, spiring higher and higher, are fit to stand before Valhalla, and the creeping juniper covers the ground with wreaths full of fruit; or to swamps where the usnea lichen hangs in festoons from the white spruce trees, and toadstools, round tables of the swamp gods, cover the ground, and more beautiful fungi adorn the stumps, like butterflies or shells, vegetable winkles; where the swamp-pink and dogwood grow, the red alderberry glows like eyes of imps, the waxwork grooves and crushes the hardest woods in its folds, and the wild holly berries make the beholder forget his home with their beauty, and he is dazzled and tempted by nameless other wild forbidden fruits, too fair for mortal taste.","Positive: 14.0%, Neutral: 82.1%, Negative: 3.9%"
Italy,41.87194,12.56738,"Benvenuto Cellini tells us in his memoirs, that, after a certain terrible dream or vision which he had during his confinement in the castle of St. Angelo a resplendent light appeared over the shadow of his head at morning and evening, whether he was in Italy or France, and it was particularly conspicuous when the grass was moist with dew.","Positive: 9.7%, Neutral: 85.4%, Negative: 4.9%"
Fair Haven,33.5234997,-86.7280681,"I set out one afternoon to go a-fishing to Fair Haven, through the woods, to eke out my scanty fare of vegetables.","Positive: 10.3%, Neutral: 89.7%, Negative: 0.0%"
Pleasant Meadow,38.1713878,-84.81501469999999,"My way led through Pleasant Meadow, an adjunct of the Baker Farm, that retreat of which a poet has since sung, beginning﻿—


“Thy entry is a pleasant field,

Which some mossy fruit trees yield

Partly to a ruddy brook,

By gliding musquash undertook,

And mercurial trout,

Darting about.”


I thought of living there before I went to Walden.","Positive: 14.4%, Neutral: 85.6%, Negative: 0.0%"
America,38.7945952,-106.5348379,I had sat there many times of old before the ship was built that floated his family to America.,"Positive: 0.0%, Neutral: 100.0%, Negative: 0.0%"
America,38.7945952,-106.5348379,"I tried to help him with my experience, telling him that he was one of my nearest neighbors, and that I too, who came a-fishing here, and looked like a loafer, was getting my living like himself; that I lived in a tight, light, and clean house, which hardly cost more than the annual rent of such a ruin as his commonly amounts to; and how, if he chose, he might in a month or two build himself a palace of his own; that I did not use tea, nor coffee, nor butter, nor milk, nor fresh meat, and so did not have to work to get them; again, as I did not work hard, I did not have to eat hard, and it cost me but a trifle for my food; but as he began with tea, and coffee, and butter, and milk, and beef, he had to work hard to pay for them, and when he had worked hard he had to eat hard again to repair the waste of his system﻿—and so it was as broad as it was long, indeed it was broader than it was long, for he was discontented and wasted his life into the bargain; and yet he had rated it as a gain in coming to America, that here you could get tea, and coffee, and meat every day.","Positive: 9.4%, Neutral: 83.9%, Negative: 6.7%"
America,38.7945952,-106.5348379,"But the only true America is that country where you are at liberty to pursue such a mode of life as may enable you to do without these, and where the state does not endeavor to compel you to sustain the slavery and war and other superfluous expenses which directly or indirectly result from the use of such things.","Positive: 11.2%, Neutral: 72.6%, Negative: 16.2%"
Spain,40.46366700000001,-3.74922,"There’s nothing like it in old paintings, nothing like it in foreign lands﻿—unless when we were off the coast of Spain.","Positive: 0.0%, Neutral: 81.8%, Negative: 18.2%"
Mediterranean,34.5531284,18.0480105,"That’s a true Mediterranean sky. I thought, as I have my living to get, and have not eaten today, that I might go a-fishing.","Positive: 12.8%, Neutral: 87.2%, Negative: 0.0%"
America,38.7945952,-106.5348379,"And certainly there is not the fight recorded in Concord history, at least, if in the history of America, that will bear a moment’s comparison with this, whether for the numbers engaged in it, or for the patriotism and heroism displayed.","Positive: 23.5%, Neutral: 76.5%, Negative: 0.0%"
Bunker Hill,42.3755627,-71.06447349999999,"I have no doubt that it was a principle they fought for, as much as our ancestors, and not to avoid a threepenny tax on their tea; and the results of this battle will be as important and memorable to those whom it concerns as those of the battle of Bunker Hill, at least.","Positive: 6.1%, Neutral: 72.5%, Negative: 21.4%"
Sweden,60.12816100000001,18.643501,This event happened previous to the expulsion of the tyrant Christiern the Second from Sweden.,"Positive: 0.0%, Neutral: 100.0%, Negative: 0.0%"
New York,40.7127753,-74.0059728,"It is said that loons have been caught in the New York lakes eighty feet beneath the surface, with hooks set for trout﻿—though Walden is deeper than that.","Positive: 0.0%, Neutral: 100.0%, Negative: 0.0%"
Louisiana,30.5190775,-91.5208624,"For hours, in fall days, I watched the ducks cunningly tack and veer and hold the middle of the pond, far from the sportsman; tricks which they will have less need to practise in Louisiana bayous.","Positive: 0.0%, Neutral: 95.8%, Negative: 4.2%"
New England,43.9653889,-70.8226541,"The buckeye does not grow in New England, and the mockingbird is rarely heard here.","Positive: 0.0%, Neutral: 100.0%, Negative: 0.0%"
Canada,56.130366,-106.346771,"The wild goose is more of a cosmopolite than we; he breaks his fast in Canada, takes a luncheon in the Ohio, and plumes himself for the night in a southern bayou.","Positive: 0.0%, Neutral: 100.0%, Negative: 0.0%"
Colorado,39.5500507,-105.7820674,"Even the bison, to some extent, keeps pace with the seasons cropping the pastures of the Colorado only till a greener and sweeter grass awaits him by the Yellowstone.","Positive: 4.6%, Neutral: 95.4%, Negative: 0.0%"
Tierra del Fuego,-54.21161194647284,-69.32367235500021,"If you are chosen town clerk, forsooth, you cannot go to Tierra del Fuego this summer: but you may go to the land of infernal fire nevertheless.","Positive: 0.0%, Neutral: 89.3%, Negative: 10.7%"
Africa,-8.783195,34.508523,One hastens to southern Africa to chase the giraffe; but surely that is not the game he would be after.,"Positive: 16.8%, Neutral: 83.2%, Negative: 0.0%"
Nile,23.55979236573434,32.15770737905076,"Is it the source of the Nile, or the Niger, or the Mississippi, or a Northwest Passage around this continent, that we would find?","Positive: 0.0%, Neutral: 100.0%, Negative: 0.0%"
Pacific Ocean,-8.783195,-124.508523,"What was the meaning of that South-Sea Exploring Expedition, with all its parade and expense, but an indirect recognition of the fact that there are continents and seas in the moral world to which every man is an isthmus or an inlet, yet unexplored by him, but that it is easier to sail many thousand miles through cold and storm and cannibals, in a government ship, with five hundred men and boys to assist one, than it is to explore the private sea, the Atlantic and Pacific Ocean of one’s being alone.","Positive: 3.9%, Neutral: 93.5%, Negative: 2.6%"
Zanzibar,-6.165192999999999,39.1989144,"“Erret, et extremos alter scrutetur Iberos.

lus habet hic vitae, plus habet ille viae.”


Let them wander and scrutinize the outlandish Australians.

I have more of God, they more of the road.


It is not worth the while to go round the world to count the cats in Zanzibar.","Positive: 4.8%, Neutral: 91.9%, Negative: 3.3%"
England,52.3555177,-1.1743197,"England and France, Spain and Portugal, Gold Coast and Slave Coast, all front on this private sea; but no bark from them has ventured out of sight of land, though it is without doubt the direct way to India.","Positive: 6.3%, Neutral: 87.1%, Negative: 6.6%"
Mississippi,32.3546679,-89.3985283,"Start now on that farthest western way, which does not pause at the Mississippi or the Pacific, nor conduct toward a worn-out China or Japan, but leads on direct, a tangent to this sphere, summer and winter, day and night, sun down, moon down, and at last earth down too.","Positive: 0.0%, Neutral: 100.0%, Negative: 0.0%"
England,52.3555177,-1.1743197,"It is a ridiculous demand which England and America make, that you shall speak so that they can understand you.","Positive: 0.0%, Neutral: 81.0%, Negative: 19.0%"
England,52.3555177,-1.1743197,"While England endeavors to cure the potato-rot, will not any endeavor to cure the brain-rot, which prevails so much more widely and fatally?","Positive: 0.0%, Neutral: 83.1%, Negative: 16.9%"
Cambridge,52.1950788,0.1312729,"Southern customers objected to its blue color, which is the evidence of its purity, as if it were muddy, and preferred the Cambridge ice, which is white, but tastes of weeds.","Positive: 0.0%, Neutral: 100.0%, Negative: 0.0%"
California,36.778261,-119.4179324,"They tell me of California and Texas, of England and the Indies, of the Hon. Mr. —﻿—﻿— of Georgia or of Massachusetts, all transient and fleeting phenomena, till I am ready to leap from their courtyard like the Mameluke bey.","Positive: 11.9%, Neutral: 88.1%, Negative: 0.0%"
China,35.86166,104.195397,"Consider the China pride and stagnant self-complacency of mankind. This generation inclines a little to congratulate itself on being the last of an illustrious line; and in Boston and London and Paris and Rome, thinking of its long descent, it speaks of its progress in art and science and literature with satisfaction.","Positive: 19.0%, Neutral: 81.0%, Negative: 0.0%"
Boston,42.3555076,-71.0565364,"This generation inclines a little to congratulate itself on being the last of an illustrious line; and in Boston and London and Paris and Rome, thinking of its long descent, it speaks of its progress in art and science and literature with satisfaction.","Positive: 18.1%, Neutral: 81.9%, Negative: 0.0%"
the United States,38.7945952,-106.5348379,"It is said that the British Empire is very large and respectable, and that the United States are a first-rate power.","Positive: 24.9%, Neutral: 75.1%, Negative: 0.0%"
Britain,55.378051,-3.435973,"The government of the world I live in was not framed, like that of Britain, in after-dinner conversations over the wine.","Positive: 0.0%, Neutral: 90.0%, Negative: 10.0%"
New England,43.9653889,-70.8226541,"Everyone has heard the story which has gone the rounds of New England, of a strong and beautiful bug which came out of the dry leaf of an old table of apple-tree wood, which had stood in a farmer’s kitchen for sixty years, first in Connecticut, and afterward in Massachusetts﻿—from an egg deposited in the living tree many years earlier still, as appeared by counting the annual layers beyond it; which was heard gnawing out for several weeks, hatched perchance by the heat of an urn.","Positive: 8.1%, Neutral: 91.9%, Negative: 0.0%"
Walden Pond,42.4387018,-71.3401284,"When I wrote the following pages, or rather the bulk of them, I lived alone, in the woods, a mile from any neighbor, in a house which I had built myself, on the shore of Walden Pond, in Concord, Massachusetts, and earned my living by the labor of my hands only.","Positive: 0.0%, Neutral: 95.7%, Negative: 4.3%"
New England,43.9653889,-70.8226541,"I would fain say something, not so much concerning the Chinese and Sandwich Islanders as you who read these pages, who are said to live in New England; something about your condition, especially your outward condition or circumstances in this world, in this town, what it is, whether it is necessary that it be as bad as it is, whether it cannot be improved as well as not.","Positive: 2.9%, Neutral: 88.7%, Negative: 8.4%"
Tierra del Fuego,-54.21161194647284,-69.32367235500021,"Darwin, the naturalist, says of the inhabitants of Tierra del Fuego, that while his own party, who were well clothed and sitting close to a fire, were far from too warm, these naked savages, who were farther off, were observed, to his great surprise, “to be streaming with perspiration at undergoing such a roasting.”","Positive: 20.3%, Neutral: 70.6%, Negative: 9.1%"
New England,43.9653889,-70.8226541,"Yet some, not wise, go to the other side of the globe, to barbarous and unhealthy regions, and devote themselves to trade for ten or twenty years, in order that they may live﻿—that is, keep comfortably warm﻿—and die in New England at last.","Positive: 9.8%, Neutral: 71.6%, Negative: 18.6%"
Boston,42.3555076,-71.0565364,"No doubt, many of my townsmen have met me returning from this enterprise, farmers starting for Boston in the twilight, or woodchoppers going to their work.","Positive: 0.0%, Neutral: 83.6%, Negative: 16.4%"
Walden Pond,42.4387018,-71.3401284,"My purpose in going to Walden Pond was not to live cheaply nor to live dearly there, but to transact some private business with the fewest obstacles; to be hindered from accomplishing which for want of a little common sense, a little enterprise and business talent, appeared not so sad as foolish.","Positive: 15.4%, Neutral: 71.4%, Negative: 13.2%"
Salem,11.664325,78.1460142,"If your trade is with the Celestial Empire, then some small counting house on the coast, in some Salem harbor, will be fixture enough.","Positive: 0.0%, Neutral: 100.0%, Negative: 0.0%"
Jersey,49.2137711,-2.1357662,"To oversee all the details yourself in person; to be at once pilot and captain, and owner and underwriter; to buy and sell and keep the accounts; to read every letter received, and write or read every letter sent; to superintend the discharge of imports night and day; to be upon many parts of the coast almost at the same time﻿—often the richest freight will be discharged upon a Jersey shore;﻿—to","Positive: 4.7%, Neutral: 95.3%, Negative: 0.0%"
Hanno,35.8551031,139.3286081,"be your own telegraph, unweariedly sweeping the horizon, speaking all passing vessels bound coastwise; to keep up a steady despatch of commodities, for the supply of such a distant and exorbitant market; to keep yourself informed of the state of the markets, prospects of war and peace everywhere, and anticipate the tendencies of trade and civilization﻿—taking advantage of the results of all exploring expeditions, using new passages and all improvements in navigation;﻿—charts to be studied, the position of reefs and new lights and buoys to be ascertained, and ever, and ever, the logarithmic tables to be corrected, for by the error of some calculator the vessel often splits upon a rock that should have reached a friendly pier﻿—there is the untold fate of La Prouse;﻿—universal science to be kept pace with, studying the lives of all great discoverers and navigators, great adventurers and merchants, from Hanno and the Phoenicians down to our day; in fine, account of stock to be taken from time to time, to know how you stand.","Positive: 14.2%, Neutral: 82.3%, Negative: 3.5%"
Walden Pond,42.4387018,-71.3401284,"I have thought that Walden Pond would be a good place for business, not solely on account of the railroad and the ice trade; it offers advantages which it may not be good policy to divulge; it is a good port and a good foundation.","Positive: 28.1%, Neutral: 71.9%, Negative: 0.0%"
Neva,31.8162936,75.20355529999999,No Neva marshes to be filled; though you must everywhere build on piles of your own driving.,"Positive: 0.0%, Neutral: 87.9%, Negative: 12.1%"
Neva,31.8162936,75.20355529999999,"It is said that a flood-tide, with a westerly wind, and ice in the Neva, would sweep St. Petersburg from the face of the earth.","Positive: 0.0%, Neutral: 100.0%, Negative: 0.0%"
Russia,61.52401,105.318756,"When Madam Pfeiffer, in her adventurous travels round the world, from east to west, had got so near home as Asiatic Russia, she says that she felt the necessity of wearing other than a travelling dress, when she went to meet the authorities, for she “was now in a civilized country, where —﻿—﻿— people are judged of by their clothes.”","Positive: 4.0%, Neutral: 96.0%, Negative: 0.0%"
New England,43.9653889,-70.8226541,"Even in our democratic New England towns the accidental possession of wealth, and its manifestation in dress and equipage alone, obtain for the possessor almost universal respect.","Positive: 18.6%, Neutral: 71.2%, Negative: 10.2%"
Paris,48.8575475,2.3513765,"The head monkey at Paris puts on a traveller’s cap, and all the monkeys in America do the same.","Positive: 0.0%, Neutral: 100.0%, Negative: 0.0%"
Rumford,44.5539111,-70.5510382,"An annual rent of from twenty-five to a hundred dollars (these are the country rates) entitles him to the benefit of the improvements of centuries, spacious apartments, clean paint and paper, Rumford fireplace, back plastering, Venetian blinds, copper pump, spring lock, a commodious cellar, and many other things.","Positive: 15.7%, Neutral: 84.3%, Negative: 0.0%"
Israel,31.046051,34.851612,"“As I live, saith the Lord God, ye shall not have occasion any more to use this proverb in Israel.”","Positive: 10.4%, Neutral: 89.6%, Negative: 0.0%"
England,52.3555177,-1.1743197,"Such too, to a greater or less extent, is the condition of the operatives of every denomination in England, which is the great workhouse of the world.","Positive: 21.6%, Neutral: 78.4%, Negative: 0.0%"
Ireland,53.77975540000001,-7.3055309,"Or I could refer you to Ireland, which is marked as one of the white or enlightened spots on the map.","Positive: 14.4%, Neutral: 85.6%, Negative: 0.0%"
States,38.7945952,-106.5348379,"I hardly need refer now to the laborers in our Southern States who produce the staple exports of this country, and are themselves a staple production of the South.","Positive: 0.0%, Neutral: 100.0%, Negative: 0.0%"
New England,43.9653889,-70.8226541,"The secretary of the Province of New Netherland, writing in Dutch, in 1650, for the information of those who wished to take up land there, states more particularly that “those in New Netherland, and especially in New England, who have no means to build farmhouses at first according to their wishes, dig a square pit in the ground, cellar fashion, six or seven feet deep, as long and as broad as they think proper, case the earth inside with wood all round the wall, and line the wood with the bark of trees or something else to prevent the caving in of the earth; floor this cellar with plank, and wainscot it overhead for a ceiling, raise a roof of spars clear up, and cover the spars with bark or green sods, so that they can live dry and warm in these houses with their entire families for two, three, and four years, it being understood that partitions are run through those cellars which are adapted to the size of the family.","Positive: 4.2%, Neutral: 94.6%, Negative: 1.3%"
New England,43.9653889,-70.8226541,"The wealthy and principal men in New England, in the beginning of the colonies, commenced their first dwelling-houses in this fashion for two reasons: firstly, in order not to waste time in building, and not to want food the next season; secondly, in order not to discourage poor laboring people whom they brought over in numbers from Fatherland.","Positive: 15.2%, Neutral: 82.9%, Negative: 1.9%"
Walden Pond,42.4387018,-71.3401284,"Near the end of March, 1845, I borrowed an axe and went down to the woods by Walden Pond, nearest to where I intended to build my house, and began to cut down some tall, arrowy white pines, still in their youth, for timber.","Positive: 0.0%, Neutral: 92.0%, Negative: 8.0%"
Troy,31.8087678,-85.969951,"He was there to represent spectatordom, and help make this seemingly insignificant event one with the removal of the gods of Troy.","Positive: 10.8%, Neutral: 79.7%, Negative: 9.6%"
Boston,42.3555076,-71.0565364,"They are but improved means to an unimproved end, an end which it was already but too easy to arrive at; as railroads lead to Boston or New York.","Positive: 22.9%, Neutral: 77.1%, Negative: 0.0%"
Maine,45.253783,-69.4454689,"We are in great haste to construct a magnetic telegraph from Maine to Texas; but Maine and Texas, it may be, have nothing important to communicate.","Positive: 9.3%, Neutral: 83.8%, Negative: 6.9%"
Fitchburg,42.5834228,-71.8022955,"One says to me, “I wonder that you do not lay up money; you love to travel; you might take the cars and go to Fitchburg today and see the country.”","Positive: 12.3%, Neutral: 87.7%, Negative: 0.0%"
Fitchburg,42.5834228,-71.8022955,"Instead of going to Fitchburg, you will be working here the greater part of the day.","Positive: 14.3%, Neutral: 85.7%, Negative: 0.0%"
India,20.593684,78.96288,"This spending of the best part of one’s life earning money in order to enjoy a questionable liberty during the least valuable part of it reminds me of the Englishman who went to India to make a fortune first, in order that he might return to England and live the life of a poet.","Positive: 17.5%, Neutral: 74.7%, Negative: 7.7%"
Thebes,38.322579,23.3204309,The grandeur of Thebes was a vulgar grandeur. More sensible is a rod of stone wall that bounds an honest man’s field than a hundred-gated Thebes that has wandered farther from the true end of life.,"Positive: 30.8%, Neutral: 69.2%, Negative: 0.0%"
Thebes,38.322579,23.3204309,More sensible is a rod of stone wall that bounds an honest man’s field than a hundred-gated Thebes that has wandered farther from the true end of life.,"Positive: 20.3%, Neutral: 79.7%, Negative: 0.0%"
Nile,23.55979236573434,32.15770737905076,"As for the Pyramids, there is nothing to wonder at in them so much as the fact that so many men could be found degraded enough to spend their lives constructing a tomb for some ambitious booby, whom it would have been wiser and manlier to have drowned in the Nile, and then given his body to the dogs.","Positive: 8.0%, Neutral: 81.8%, Negative: 10.2%"
China,35.86166,104.195397,"As for your high towers and monuments, there was a crazy fellow once in this town who undertook to dig through to China, and he got so far that, as he said, he heard the Chinese pots and kettles rattle; but I think that I shall not go out of my way to admire the hole which he made.","Positive: 6.9%, Neutral: 90.2%, Negative: 2.8%"
India,20.593684,78.96288,"It was fit that I should live on rice, mainly, who love so well the philosophy of India.","Positive: 40.3%, Neutral: 59.7%, Negative: 0.0%"
America,38.7945952,-106.5348379,"Leaven, which some deem the soul of bread, the spiritus which fills its cellular tissue, which is religiously preserved like the vestal fire﻿—some precious bottleful, I suppose, first brought over in the Mayflower, did the business for America, and its influence is still rising, swelling, spreading, in cerealian billows over the land﻿—this seed I regularly and faithfully procured from the village, till at length one morning I forgot the rules, and scalded my yeast; by which accident I discovered that even this was not indispensable﻿—for my discoveries were not by the synthetic but analytic process﻿—and I have gladly omitted it since, though most housewives earnestly assured me that safe and wholesome bread without yeast might not be, and elderly people prophesied a speedy decay of the vital forces.","Positive: 14.1%, Neutral: 81.9%, Negative: 4.1%"
England,52.3555177,-1.1743197,"I look upon England today as an old gentleman who is travelling with a great deal of baggage, trumpery which has accumulated from long housekeeping, which he has not the courage to burn; great trunk, little trunk, bandbox, and bundle.","Positive: 17.9%, Neutral: 76.4%, Negative: 5.7%"
Sahara,23.4162027,25.66283,"When Phaeton, wishing to prove his heavenly birth by his beneficence, had the sun’s chariot but one day, and drove out of the beaten track, he burned several blocks of houses in the lower streets of heaven, and scorched the surface of the earth, and dried up every spring, and made the great desert of Sahara, till at length Jupiter hurled him headlong to the earth with a thunderbolt, and the sun, through grief at his death, did not shine for a year.","Positive: 15.5%, Neutral: 67.0%, Negative: 17.5%"
England,52.3555177,-1.1743197,"I once heard a reverend lecturer on England, a man of learning and intelligence, after enumerating her scientific, literary, and political worthies, Shakespeare, Bacon, Cromwell, Milton, Newton, and others, speak next of her Christian heroes, whom, as if his profession required it of him, he elevated to a place far above all the rest, as the greatest of the great.","Positive: 22.0%, Neutral: 78.0%, Negative: 0.0%"
England,52.3555177,-1.1743197,"The last were not England’s best men and women; only, perhaps, her best philanthropists. ","Positive: 0.0%, Neutral: 64.0%, Negative: 36.0%"
Gulistan,41.872542,-86.626133,"I read in the Gulistan, or Flower Garden, of Sheik Sadi of Shiraz, that “they asked a wise man, saying: Of the many celebrated trees which the Most High God has created lofty and umbrageous, they call none azad, or free, excepting the cypress, which bears no fruit; what mystery is there in this?","Positive: 18.0%, Neutral: 74.1%, Negative: 7.9%"
Tigris,34.7231419449887,43.80900963740694,"He replied, Each has its appropriate produce, and appointed season, during the continuance of which it is fresh and blooming, and during their absence dry and withered; to neither of which states is the cypress exposed, being always flourishing; and of this nature are the azads, or religious independents.﻿—Fix not thy heart on that which is transitory; for the Dijlah, or Tigris, will continue to flow through Bagdad after the race of caliphs is extinct: if thy hand has plenty, be liberal as the date tree; but if it affords nothing to give away, be an azad, or free man, like the cypress.”


Complemental Verses
The Pretensions of Poverty


Thou dost presume too much, poor needy wretch,

To claim a station in the firmament

Because thy humble cottage, or thy tub,

Nurses some lazy or pedantic virtue

In the cheap sunshine or by shady springs,

With roots and pot-herbs; where thy right hand,

Tearing those humane passions from the mind,

Upon whose stocks fair blooming virtues flourish,

Degradeth nature, and benumbeth sense,

And, Gorgon-like, turns active men to stone.

We not require the dull society

Of your necessitated temperance,

Or that unnatural stupidity

That knows nor joy nor sorrow; nor your forc’d

Falsely exalted passive fortitude

Above the active.","Positive: 17.9%, Neutral: 71.7%, Negative: 10.4%"
New England,43.9653889,-70.8226541,"Nearer yet to town, you come to Breed’s location, on the other side of the way, just on the edge of the wood; ground famous for the pranks of a demon not distinctly named in old mythology, who has acted a prominent and astounding part in our New England life, and deserves, as much as any mythological character, to have his biography written one day; who first comes in the guise of a friend or hired man, and then robs and murders the whole family﻿—New-England Rum.","Positive: 8.9%, Neutral: 83.6%, Negative: 7.5%"
Walden Woods,42.6475337,-83.7571632,Napoleon went to St. Helena; Quoil came to Walden Woods. All I know of him is tragic.,"Positive: 0.0%, Neutral: 83.3%, Negative: 16.7%"
Walden Pond,42.4387018,-71.3401284,"Ay, the deep Walden Pond and cool Brister’s Spring﻿—privilege to drink long and healthy draughts at these, all unimproved by these men but to dilute their glass.","Positive: 12.3%, Neutral: 87.7%, Negative: 0.0%"
Sutton,51.3614279,-0.193961,"When the snow lay deepest no wanderer ventured near my house for a week or fortnight at a time, but there I lived as snug as a meadow mouse, or as cattle and poultry which are said to have survived for a long time buried in drifts, even without food; or like that early settler’s family in the town of Sutton, in this State, whose cottage was completely covered by the great snow of 1717 when he was absent, and an Indian found it only by the hole which the chimney’s breath made in the drift, and so relieved the family.","Positive: 13.3%, Neutral: 82.8%, Negative: 3.9%"
Missouri,37.9642529,-91.8318334,"The traveller on the prairie is naturally a hunter, on the head waters of the Missouri and Columbia a trapper, and at the Falls of St. Mary a fisherman.","Positive: 0.0%, Neutral: 100.0%, Negative: 0.0%"
England,52.3555177,-1.1743197,"They mistake who assert that the Yankee has few amusements, because he has not so many public holidays, and men and boys do not play so many games as they do in England, for here the more primitive but solitary amusements of hunting, fishing, and the like have not yet given place to the former.","Positive: 16.3%, Neutral: 78.5%, Negative: 5.2%"
New England,43.9653889,-70.8226541,"Almost every New England boy among my contemporaries shouldered a fowling-piece between the ages of ten and fourteen; and his hunting and fishing grounds were not limited, like the preserves of an English nobleman, but were more boundless even than those of a savage.","Positive: 2.9%, Neutral: 85.0%, Negative: 12.1%"
Walden Pond,42.4387018,-71.3401284,"I have been surprised to consider that the only obvious employment, except wood-chopping, ice-cutting, or the like business, which ever to my knowledge detained at Walden Pond for a whole half-day any of my fellow-citizens, whether fathers or children of the town, with just one exception, was fishing.","Positive: 8.8%, Neutral: 85.8%, Negative: 5.4%"
Greece,39.074208,21.824312,"Such apparently slight causes destroyed Greece and Rome, and will destroy England and America. Of all ebriosity, who does not prefer to be intoxicated by the air he breathes?","Positive: 0.0%, Neutral: 80.1%, Negative: 19.9%"
Boston,42.3555076,-71.0565364,"There, too, I admired, though I did not gather, the cranberries, small waxen gems, pendants of the meadow grass, pearly and red, which the farmer plucks with an ugly rake, leaving the smooth meadow in a snarl, heedlessly measuring them by the bushel and the dollar only, and sells the spoils of the meads to Boston and New York; destined to be jammed, to satisfy the tastes of lovers of Nature there.","Positive: 12.4%, Neutral: 83.3%, Negative: 4.2%"
Mesopotamia,34.5337527,43.483738,"Many of the villages of Mesopotamia are built of secondhand bricks of a very good quality, obtained from the ruins of Babylon, and the cement on them is older and probably harder still.","Positive: 8.8%, Neutral: 83.1%, Negative: 8.0%"
the North West Territory,63.588753,-115.5069381,"How can the scholar, who dwells away in the North West Territory or the Isle of Man, tell what is parliamentary in the kitchen?","Positive: 0.0%, Neutral: 95.4%, Negative: 4.6%"
Fair Haven,33.5234997,-86.7280681,"Night after night the geese came lumbering in the dark with a clangor and a whistling of wings, even after the ground was covered with snow, some to alight in Walden, and some flying low over the woods toward Fair Haven, bound for Mexico.","Positive: 5.2%, Neutral: 90.1%, Negative: 4.7%"
Flint,43.0125274,-83.6874562,"In 1845 Walden froze entirely over for the first time on the night of the 22nd of December, Flint’s and other shallower ponds and the river having been frozen ten days or more; in ’46, the 16th; in ’49, about the 31st; and in ’50, about the 27th of December; in ’52, the 5th of January; in ’53, the 31st of December.","Positive: 0.0%, Neutral: 100.0%, Negative: 0.0%"
England,52.3555177,-1.1743197,"Gilpin, in his account of the forest borderers of England, says that “the encroachments of trespassers, and the houses and fences thus raised on the borders of the forest,” were “considered as great nuisances by the old forest law, and were severely punished under the name of purprestures, as tending ad terrorem ferarum﻿—ad nocumentum forestae, etc.,” to the frightening of the game and the detriment of the forest.","Positive: 5.3%, Neutral: 82.8%, Negative: 11.9%"
